spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id
signage,cluttered perception,avoidance,negative,201709_113.89287809313714_22.582046118157287.png
street,moderate fascination,capture attention,positive,201709_113.9006401_22.580222400000004.png
storefronts,visual stimulation,prevent boredom,positive,201709_113.9006401_22.580222400000004.png
vehicles,dynamic environment,engage with surroundings,positive,201709_113.9006401_22.580222400000004.png
pedestrians,active atmosphere,explore area,positive,201709_113.9006401_22.580222400000004.png
trees,sense of calm,encourages walking,positive,201709_113.9192914_22.540217099999996.png
architecture,aesthetic appreciation,inspires exploration,positive,201709_113.9192914_22.540217099999996.png
walkways,invitation to engage,promotes interaction,positive,201709_113.9192914_22.540217099999996.png
atmosphere,feeling of detachment,limits engagement,negative,201709_113.9192914_22.540217099999996.png
facade,point of interest,draws attention,positive,201709_113.9192914_22.540217099999996.png
trees,some visual interest,limited fascination,positive,201709_113.9321433_22.555366199999998.png
road,difficult to be fascinated,lack of engagement,negative,201709_113.9321433_22.555366199999998.png
infrastructure,repetitive nature,restricted exploration,negative,201709_113.9321433_22.555366199999998.png
trees,moderate fascination,limited attention,neutral,201709_113.92267140000001_22.5469096.png
greenery,visual interest,engagement with surroundings,positive,201709_113.92267140000001_22.5469096.png
buildings,functional urban feel,routine behavior,negative,201709_113.92267140000001_22.5469096.png
bridge,sense of routine,limited exploration,negative,201709_113.92267140000001_22.5469096.png
traffic,distraction,avoidance of engagement,negative,201709_113.92267140000001_22.5469096.png
cars,lack of engagement,avoidance of space,negative,201709_113.9286848_22.584965899999997.png
building,monotony,disinterest,negative,201709_113.9286848_22.584965899999997.png
trees,slight intrigue,brief attention,neutral,201709_113.9286848_22.584965899999997.png
asphalt,lack of fascination,reduced engagement,negative,201709_113.943607_22.5605947.png
concrete,uniformity,decreased exploration,negative,201709_113.943607_22.5605947.png
structures,lack of unique details,diminished attention,negative,201709_113.943607_22.5605947.png
buildings,lack of intrigue,prevent boredom,negative,201709_113.9344939_22.552632599999995.png
sky,muted visual experience,limit fascination,negative,201709_113.9344939_22.552632599999995.png
traffic,visual interest,passive observation,neutral,201709_113.9470346_22.558947799999995.png
buildings,lack of deep engagement,disinterest,negative,201709_113.9470346_22.558947799999995.png
greenery,moderate fascination,appreciation of nature,positive,201709_113.9470346_22.558947799999995.png
greenery,sense of engagement,increased interaction,positive,201709_113.943488_22.554994399999995.png
paths,visual interest,exploration,positive,201709_113.943488_22.554994399999995.png
buildings,captured attention,curiosity,positive,201709_113.943488_22.554994399999995.png
traffic,dynamic environment,active participation,positive,201709_113.943488_22.554994399999995.png
infrastructure,rich visual environment,sustained interest,positive,201709_113.943488_22.554994399999995.png
trees,visual interest,exploration,positive,201709_113.95156346258041_22.570739627221727.png
green spaces,curiosity,engagement,positive,201709_113.95156346258041_22.570739627221727.png
paths,fascination,walking,positive,201709_113.95156346258041_22.570739627221727.png
water features,curiosity,exploration,positive,201709_113.95156346258041_22.570739627221727.png
urban setting,limited fascination,disengagement,negative,201709_113.95156346258041_22.570739627221727.png
patterns,lack of depth,disinterest,negative,201709_113.95156346258041_22.570739627221727.png
buildings,uniformity,indifference,negative,201709_113.95156346258041_22.570739627221727.png
architecture,some visual interest,engagement,positive,201709_113.95331802863919_22.58585880092765.png
vehicles,everyday nature,lack of engagement,negative,201709_113.95331802863919_22.58585880092765.png
greenery,glimpses of nature,mild interest,neutral,201709_113.95331802863919_22.58585880092765.png
laundry,lack of novelty,distraction,negative,201709_113.95331802863919_22.58585880092765.png
cars,commonplace,indifference,negative,201709_113.95331802863919_22.58585880092765.png
greenery,visual interest,engagement,positive,201709_113.9604736_22.548620099999997.png
trees,sense of calm,relaxation,positive,201709_113.9604736_22.548620099999997.png
sky,openness,exploration,positive,201709_113.9604736_22.548620099999997.png
traffic,orderliness,movement,positive,201709_113.9604736_22.548620099999997.png
buildings,urban connection,engagement,positive,201709_113.9604736_22.548620099999997.png
trees,feeling of fascination,exploring the area,positive,201709_113.9630448_22.5664261.png
sky,detracted fascination,avoiding outdoor activities,negative,201709_113.9630448_22.5664261.png
construction,distraction from enjoyment,seeking quieter spaces,negative,201709_113.9630448_22.5664261.png
roads,neutral observation,navigating through the campus,neutral,201709_113.9630448_22.5664261.png
environment,captured attention,engagement,positive,201709_113.9639129_22.534823.png
clutter,lack of effortless engagement,disinterest,negative,201709_113.9639129_22.534823.png
greenery,captivating natural elements,engagement with nature,positive,201709_113.96211397355088_22.531719062555634.png
architecture,moderate fascination,appreciation of design,neutral,201709_113.96211397355088_22.531719062555634.png
roads,sense of ongoing activity,movement and travel,positive,201709_113.96211397355088_22.531719062555634.png
cars,preventing boredom,increased alertness,positive,201709_113.96211397355088_22.531719062555634.png
shops,engagement,exploring,positive,201709_113.964093_22.5445477.png
vendors,curiosity,interacting,positive,201709_113.964093_22.5445477.png
vehicles,dynamic energy,observing,positive,201709_113.964093_22.5445477.png
people,social connection,participating,positive,201709_113.964093_22.5445477.png
foliage,calmness,relaxing,positive,201709_113.964093_22.5445477.png
greenery,moderate fascination,engagement with nature,positive,201709_113.9686703_22.543817999999998.png
bushes,visual interest,exploration,positive,201709_113.9686703_22.543817999999998.png
storefronts,curiosity,shopping,positive,201709_113.9686703_22.543817999999998.png
cyclists,dynamic atmosphere,movement,positive,201709_113.9686703_22.543817999999998.png
pedestrians,activity,social interaction,positive,201709_113.9686703_22.543817999999998.png
buildings,limited fascination,disengagement,negative,201709_113.9686703_22.543817999999998.png
trees,moderate fascination,limited engagement,neutral,201709_113.9776927_22.553499299999995.png
architecture,limited visual interest,detracted attention,negative,201709_113.9776927_22.553499299999995.png
traffic,busy environment,reduced focus,negative,201709_113.9776927_22.553499299999995.png
intersection,distracting scene,shortened engagement,negative,201709_113.9776927_22.553499299999995.png
buildings,urban activity impression,limited fascination,neutral,201709_113.9781461_22.5620735.png
trees,moderate fascination,appreciation of nature,positive,201709_113.9781461_22.5620735.png
traffic,busy environment feeling,distraction from nature,negative,201709_113.9781461_22.5620735.png
highway,functional impression,limited engagement,negative,201709_113.9787782_22.5597536.png
buildings,lack of uniqueness,boredom likelihood,negative,201709_113.9787782_22.5597536.png
cars,ordinary scene,minimal exploration,negative,201709_113.9787782_22.5597536.png
greenery,some visual interest,mild attraction,neutral,201709_113.9787782_22.5597536.png
buildings,captivating contrast,increased attention,positive,201709_113.9925216_22.550671499999996.png
debris,diminished fascination,distraction from environment,negative,201709_113.9925216_22.550671499999996.png
vegetation,slight interest,encouragement to explore,neutral,201709_113.9925216_22.550671499999996.png
trees,stimulating environment,hold one's attention,positive,201709_113.9942723_22.596048899999996.png
sky,stimulating environment,hold one's attention,positive,201709_113.9942723_22.596048899999996.png
skyscrapers,visual interest,draw the viewer's attention,positive,201709_113.9942723_22.596048899999996.png
pathway,visual interest,draw the viewer's attention,positive,201709_113.9942723_22.596048899999996.png
paving,visual interest,draw the viewer's attention,positive,201709_113.9942723_22.596048899999996.png
daylight,stimulating environment,make it hard to be bored,positive,201709_113.9942723_22.596048899999996.png
greenery,stimulating environment,make it hard to be bored,positive,201709_113.9942723_22.596048899999996.png
architecture,stimulating environment,make it hard to be bored,positive,201709_113.9942723_22.596048899999996.png
vehicles,moderate fascination,curiosity to explore,positive,201709_113.9946018_22.6585788.png
architecture,limited captivating appeal,disinterest in surroundings,negative,201709_113.9946018_22.6585788.png
sky,dull atmosphere,desire to leave,negative,201709_113.9946018_22.6585788.png
arrangement,busy feeling,overwhelm leading to avoidance,negative,201709_113.9946018_22.6585788.png
greenery,visual interest,exploration,positive,201709_113.9991206_22.600464199999998.png
architecture,captivating quality,engagement,positive,201709_113.9991206_22.600464199999998.png
roads,functional environment,limited exploration,negative,201709_113.9991206_22.600464199999998.png
construction,distraction,avoidance,negative,201709_113.9991206_22.600464199999998.png
skies,openness,relaxation,positive,201709_113.9991206_22.600464199999998.png
buildings,limited fascination,boredom,negative,201709_114.0022694_22.6728742.png
street,somewhat monotonous,lack of engagement,negative,201709_114.0022694_22.6728742.png
landscape,functional impression,minimal exploration,negative,201709_114.0022694_22.6728742.png
street,subdued atmosphere,less likely to engage,negative,201709_113.9994241_22.667688899999998.png
buildings,typical city environment,evokes boredom,negative,201709_113.9994241_22.667688899999998.png
trees,elements of interest,captures attention,positive,201709_113.9994241_22.667688899999998.png
cars,ordinary presence,neutral engagement,neutral,201709_113.9994241_22.667688899999998.png
sky,contributes to monotony,diminishes interest,negative,201709_113.9994241_22.667688899999998.png
buildings,busy cityscape,limited exploration,negative,201709_114.0003338_22.6503552.png
greenery,lack of engagement,minimal leisure activities,negative,201709_114.0003338_22.6503552.png
roads,focus on transportation,reduced leisure movement,negative,201709_114.0003338_22.6503552.png
structures,overhead dominance,distraction from surroundings,negative,201709_114.0003338_22.6503552.png
vehicles,moderate interest,increased awareness,positive,201709_114.0030111_22.661061899999993.png
buildings,limited fascination,reduced engagement,negative,201709_114.0030111_22.661061899999993.png
greenery,slight uplift,encouraged exploration,positive,201709_114.0030111_22.661061899999993.png
streetlights,minor intrigue,heightened observation,positive,201709_114.0030111_22.661061899999993.png
sky,dull mood,decreased activity,negative,201709_114.0030111_22.661061899999993.png
shops,captivating environment,draw attention,positive,201709_114.0018234_22.667901699999994.png
signage,dynamic street life,engage with surroundings,positive,201709_114.0018234_22.667901699999994.png
palm trees,visual interest,appreciate contrast,positive,201709_114.0018234_22.667901699999994.png
urban structures,routine existence,limit exploration,negative,201709_114.0018234_22.667901699999994.png
highway,limited fascination,lack of engagement,negative,201709_114.003588_22.6409441.png
vehicles,detracted interest,distraction from surroundings,negative,201709_114.003588_22.6409441.png
banners,no engaging narrative,failure to capture attention,negative,201709_114.003588_22.6409441.png
buildings,lack of visual complexity,reduced curiosity,negative,201709_114.003588_22.6409441.png
construction,repetitive nature,disinterest in environment,negative,201709_114.003588_22.6409441.png
greenery,visual interest,engagement with surroundings,positive,201709_114.0047235_22.638701700000006.png
architecture,less monotonous,exploration of space,positive,201709_114.0047235_22.638701700000006.png
art,moderate fascination,appreciation of aesthetics,positive,201709_114.0047235_22.638701700000006.png
street,sense of flow,movement through space,positive,201709_114.0047235_22.638701700000006.png
markings,organized environment,safe navigation,positive,201709_114.0047235_22.638701700000006.png
crossings,sense of safety,crossing the street,positive,201709_114.0047235_22.638701700000006.png
construction,limited visual interest,boredom,negative,201709_114.0096115_22.600753299999997.png
dust,lack of fascination,disengagement,negative,201709_114.0096115_22.600753299999997.png
fencing,restricted view,avoidance,negative,201709_114.0096115_22.600753299999997.png
trees,minimal attention capture,indifference,neutral,201709_114.0096115_22.600753299999997.png
sky,subdued interest,passive observation,neutral,201709_114.0096115_22.600753299999997.png
clouds,lack of engagement,distraction,negative,201709_114.0096115_22.600753299999997.png
road,lack of interest,boredom,negative,201709_114.00860371507362_22.636517955219855.png
greenery,uniformity,disengagement,negative,201709_114.00860371507362_22.636517955219855.png
environment,functional urbanity,limited fascination,negative,201709_114.01594280000002_22.643162600000004.png
construction,routine nature,decreased engagement,negative,201709_114.01594280000002_22.643162600000004.png
traffic,low interest,lack of exploration,negative,201709_114.01594280000002_22.643162600000004.png
greenery,visual interest,engagement with nature,positive,201709_114.0144989_22.623911299999996.png
trees,pleasant atmosphere,relaxation,positive,201709_114.0144989_22.623911299999996.png
road,lack of fascination,distraction from restoration,negative,201709_114.0144989_22.623911299999996.png
vehicles,moderate stimulation,limited engagement,neutral,201709_114.0144989_22.623911299999996.png
street,active environment,engagement with surroundings,positive,201709_114.0148822_22.677448899999998.png
buildings,interest in architecture,exploration of details,positive,201709_114.0148822_22.677448899999998.png
greenery,sense of calm,seeking relaxation,positive,201709_114.0148822_22.677448899999998.png
vehicles,chaotic activity,observation of movement,neutral,201709_114.0148822_22.677448899999998.png
child,dynamic interaction,social connection,positive,201709_114.0148822_22.677448899999998.png
vehicles,some visual interest,curiosity to explore,positive,201709_114.0188499_22.534879299999993.png
architecture,moderate fascination,appreciation of design,positive,201709_114.0188499_22.534879299999993.png
cars,mundane impression,disengagement,negative,201709_114.0188499_22.534879299999993.png
setting,limited attention capture,avoidance of the area,negative,201709_114.0188499_22.534879299999993.png
buildings,limited fascination,lack of engagement,negative,201709_114.0172955_22.634768700000002.png
traffic,utility focus,reduced curiosity,negative,201709_114.0172955_22.634768700000002.png
construction,distraction,avoidance of exploration,negative,201709_114.0172955_22.634768700000002.png
bridge,moderate fascination,exploration,positive,201709_114.0203571_22.6226998.png
buildings,visual interest,engagement,positive,201709_114.0203571_22.6226998.png
traffic,limited novelty,avoidance,negative,201709_114.0203571_22.6226998.png
buildings,sense of fascination,engagement with surroundings,positive,201709_114.0218923_22.6305483.png
traffic,dynamic environment,increased observation,positive,201709_114.0218923_22.6305483.png
pedestrians,sense of activity,social interaction,positive,201709_114.0218923_22.6305483.png
cyclists,vibrancy,movement and exploration,positive,201709_114.0218923_22.6305483.png
cranes,ongoing activity,curiosity about construction,positive,201709_114.0218923_22.6305483.png
details,unlikeliness of boredom,continuous observation,positive,201709_114.0218923_22.6305483.png
buildings,some visual interest,exploration,positive,201709_114.022449_22.621005399999994.png
greenery,moderate fascination,relaxation,positive,201709_114.022449_22.621005399999994.png
roads,urban and functional,navigation,negative,201709_114.022449_22.621005399999994.png
vehicles,crowdedness,avoidance,negative,201709_114.022449_22.621005399999994.png
palm trees,intrigue,appreciation,positive,201709_114.022449_22.621005399999994.png
architectural details,some intrigue,curiosity,positive,201709_114.022449_22.621005399999994.png
buildings,moderate fascination,limited engagement,neutral,201709_114.0226351_22.605973099999996.png
traffic,lack of wonder,disengagement,negative,201709_114.0226351_22.605973099999996.png
sky,diminished appeal,reduced interest,negative,201709_114.0226351_22.605973099999996.png
greenery,level of fascination,invites curiosity,positive,201709_114.0226949_22.681729199999996.png
trees,visual interest,encourages exploration,positive,201709_114.0226949_22.681729199999996.png
path,gentle allure,promotes wandering,positive,201709_114.0226949_22.681729199999996.png
textures,respite from monotony,provides relaxation,positive,201709_114.0226949_22.681729199999996.png
signs,moderate interest,brief engagement,neutral,201709_114.0228811_22.535650599999997.png
facades,lack of intrigue,disengagement,negative,201709_114.0228811_22.535650599999997.png
activity,dynamic environment,exploration,positive,201709_114.0228811_22.535650599999997.png
shops,sense of visual richness,exploring the area,positive,201709_114.0241351_22.6258048.png
vehicles,heightened attention,observing movement,positive,201709_114.0241351_22.6258048.png
architecture,intrigue and curiosity,finding interesting sights,positive,201709_114.0241351_22.6258048.png
trees,moderate engagement,exploration,neutral,201709_114.02527420514076_22.68702748641247.png
storefronts,mundane experience,limited interaction,negative,201709_114.02527420514076_22.68702748641247.png
greenery,visual interest,casual observation,positive,201709_114.02527420514076_22.68702748641247.png
signage,moderate fascination,increased engagement,positive,201709_114.0316089_22.621808699999995.png
greenery,sense of calm,lingering longer,positive,201709_114.0316089_22.621808699999995.png
density,limited engagement,rushed movement,negative,201709_114.0316089_22.621808699999995.png
activity,dynamic environment,exploration,positive,201709_114.0316089_22.621808699999995.png
trees,captured attention,increased engagement,positive,201709_114.0255544_22.524026400000004.png
buildings,moderate appeal,limited fascination,neutral,201709_114.0255544_22.524026400000004.png
activity,sense of engagement,social interaction,positive,201709_114.0255544_22.524026400000004.png
barriers,limited interest,avoidance,negative,201709_114.0255544_22.524026400000004.png
buildings,lack of fascination,indifference,negative,201709_114.03296708878203_22.60399336922657.png
greenery,some visual interest,mild engagement,neutral,201709_114.03296708878203_22.60399336922657.png
vehicles,minimal attention,boredom,negative,201709_114.03296708878203_22.60399336922657.png
construction,detracting elements,distraction,negative,201709_114.03296708878203_22.60399336922657.png
street,boredom,lack of engagement,negative,201709_114.0326601_22.6185074.png
blocks,mundane,disinterest,negative,201709_114.0326601_22.6185074.png
traffic,functional,passive observation,neutral,201709_114.0326601_22.6185074.png
greenery,visual interest,exploration,positive,201709_114.0302705_22.5593357.png
architecture,dynamic experience,engagement,positive,201709_114.0302705_22.5593357.png
intersection,limited discovery,avoidance,negative,201709_114.0302705_22.5593357.png
murals,unique fascination,appreciation,positive,201709_114.0302705_22.5593357.png
greenery,visual interest,exploration,positive,201709_114.0333185_22.7434467.png
pathways,sense of order,walking,positive,201709_114.0333185_22.7434467.png
entrance,curiosity,approaching,positive,201709_114.0333185_22.7434467.png
contrast,captivating quality,engagement,positive,201709_114.0333185_22.7434467.png
buildings,moderate interest,draw attention,neutral,201709_114.03547770766902_22.743490906000194.png
greenery,visual appeal,encourage exploration,positive,201709_114.03547770766902_22.743490906000194.png
canal,curiosity,attract observation,positive,201709_114.03547770766902_22.743490906000194.png
bicycles,interest,invite interaction,positive,201709_114.03547770766902_22.743490906000194.png
scene,lack of engagement,diminished attention,negative,201709_114.03547770766902_22.743490906000194.png
trees,visually engaging environment,exploration of surroundings,positive,201709_114.0360691_22.637340599999998.png
greenery,calm atmosphere,relaxation,positive,201709_114.0360691_22.637340599999998.png
architecture,visual interest,observation,positive,201709_114.0360691_22.637340599999998.png
pathways,non-overwhelming experience,walking,positive,201709_114.0360691_22.637340599999998.png
greenery,visual interest,draw attention,positive,201709_114.03886620000002_22.64132529999999.png
vehicles,prevent boredom,explore details,positive,201709_114.03886620000002_22.64132529999999.png
road,limited fascination,avoid engagement,negative,201709_114.03886620000002_22.64132529999999.png
barriers,restrictive feeling,withdrawal,negative,201709_114.03886620000002_22.64132529999999.png
greenery,visual interest,exploration,positive,201709_114.0364159_22.5548991.png
buildings,functional busyness,limited engagement,negative,201709_114.0364159_22.5548991.png
bridge,captivating experience,attraction,positive,201709_114.0364159_22.5548991.png
advertisements,distracted focus,avoidance,negative,201709_114.0364159_22.5548991.png
traffic,overwhelmed sensation,withdrawal,negative,201709_114.0364159_22.5548991.png
shops,limited engagement,passive observation,negative,201709_114.0379865_22.5205156.png
vehicles,monotony,disinterest,negative,201709_114.0379865_22.5205156.png
greenery,visual interest,exploration,positive,201709_114.0379865_22.5205156.png
sky,uplifting,gazing,positive,201709_114.0379865_22.5205156.png
clutter,overwhelm,avoidance,negative,201709_114.0379865_22.5205156.png
architecture,lack of appeal,boredom,negative,201709_114.0379865_22.5205156.png
trees,limited fascination,lack of engagement,negative,201709_114.0414485_22.640062199999996.png
architecture,minimal interest,distraction avoidance,negative,201709_114.0414485_22.640062199999996.png
street,urban busyness,reduced exploration,negative,201709_114.0414485_22.640062199999996.png
trees,visual interest,increased attention,positive,201709_114.04279492847324_22.729973014590012.png
architecture,moderate engagement,curiosity,neutral,201709_114.04279492847324_22.729973014590012.png
traffic,limited fascination,reduced exploration,negative,201709_114.04279492847324_22.729973014590012.png
barriers,boredom likely,lack of engagement,negative,201709_114.0445919_22.649543399999995.png
buildings,lack of interest,distraction avoidance,negative,201709_114.0445919_22.649543399999995.png
environment,unpleasantness,withdrawal,negative,201709_114.0445919_22.649543399999995.png
posters,minimal engagement,inattention,negative,201709_114.0445919_22.649543399999995.png
trees,interest level,exploration,positive,201709_114.0451014_22.5753133.png
pathways,sense of safety,walking,positive,201709_114.0451014_22.5753133.png
booth,slight distraction,hesitation,negative,201709_114.0451014_22.5753133.png
markings,neutral engagement,navigation,neutral,201709_114.0451014_22.5753133.png
greenery,fascination,lingering,positive,201709_114.0451014_22.5753133.png
area,potential attraction,anticipation,positive,201709_114.0451014_22.5753133.png
features,lack of captivation,boredom,negative,201709_114.0451014_22.5753133.png
buildings,lack of engagement,disinterest,negative,201709_114.04211849208629_22.727871304056496.png
roads,functional utility,minimal exploration,negative,201709_114.04211849208629_22.727871304056496.png
trees,mild interest,occasional observation,neutral,201709_114.04211849208629_22.727871304056496.png
landscaping,insufficient uniqueness,lack of engagement,negative,201709_114.04211849208629_22.727871304056496.png
sunlight,visual engagement,increased observation,positive,201709_114.0452431_22.553932899999992.png
trees,captivating scene,exploration,positive,201709_114.0452431_22.553932899999992.png
road,sense of harmony,walking,positive,201709_114.0452431_22.553932899999992.png
traffic,tranquility,lingering,positive,201709_114.0452431_22.553932899999992.png
foliage,opportunities for observation,engagement with nature,positive,201709_114.0452431_22.553932899999992.png
buildings,lack of fascination,minimal engagement,negative,201709_114.0455486602847_22.522770585720306.png
vehicles,monotonous aesthetic,reduced attention,negative,201709_114.0455486602847_22.522770585720306.png
people,practical engagement,routine activities,neutral,201709_114.0455486602847_22.522770585720306.png
trees,visual interest,attract attention,positive,201709_114.0457645_22.5104295.png
gardens,pleasantness,enjoy surroundings,positive,201709_114.0457645_22.5104295.png
buildings,lack of novelty,disengagement,negative,201709_114.0457645_22.5104295.png
bicycles,limited fascination,reduced exploration,negative,201709_114.0457645_22.5104295.png
greenery,sense of interest,engagement in surroundings,positive,201709_114.04611174452_22.516619027471318.png
sunlight,enhanced mood,increased outdoor activity,positive,201709_114.04611174452_22.516619027471318.png
activity,dynamic environment,exploration and interaction,positive,201709_114.04611174452_22.516619027471318.png
space,freedom from boredom,socializing and movement,positive,201709_114.04611174452_22.516619027471318.png
diversity,visual stimulation,curiosity and observation,positive,201709_114.04611174452_22.516619027471318.png
architecture,visual interest,engagement with surroundings,positive,201709_114.05014913221994_22.603617836913898.png
greenery,sense of calm,relaxation,positive,201709_114.05014913221994_22.603617836913898.png
urban,moderate fascination,exploration,neutral,201709_114.05014913221994_22.603617836913898.png
density,limited attention,decreased engagement,negative,201709_114.05014913221994_22.603617836913898.png
patterns,repetition fatigue,disinterest,negative,201709_114.05014913221994_22.603617836913898.png
trees,visual interest,sustained attention,positive,201709_114.0523622_22.661118499999997.png
utility,limited fascination,distraction,negative,201709_114.0523622_22.661118499999997.png
signage,limited fascination,distraction,negative,201709_114.0523622_22.661118499999997.png
intersection,general urban character,lack of engagement,negative,201709_114.0523622_22.661118499999997.png
trees,visual interest,exploration,positive,201709_114.0533998_22.528414399999996.png
traffic,limited captivating details,avoidance,negative,201709_114.0533998_22.528414399999996.png
buildings,constrained environment,withdrawal,negative,201709_114.0533998_22.528414399999996.png
architecture,sense of engagement,exploration,positive,201709_114.05507060000001_22.611604299999993.png
greenery,varied visual input,appreciation of nature,positive,201709_114.05507060000001_22.611604299999993.png
traffic,moderate visual interest,social interaction,positive,201709_114.05507060000001_22.611604299999993.png
pedestrians,sense of activity,participation in street life,positive,201709_114.05507060000001_22.611604299999993.png
buildings,diversity in environment,curiosity,positive,201709_114.05507060000001_22.611604299999993.png
buildings,visual interest,exploration,positive,201709_114.0569058_22.528170200000005.png
concrete,overwhelming density,avoidance,negative,201709_114.0569058_22.528170200000005.png
trees,insufficient engagement,disengagement,negative,201709_114.0569058_22.528170200000005.png
plants,limited attraction,lack of interaction,negative,201709_114.0569058_22.528170200000005.png
street,captivating scene,engaging with surroundings,positive,201709_114.0502404_22.601815099999996.png
pedestrians,lively atmosphere,social interaction,positive,201709_114.0502404_22.601815099999996.png
buildings,limited fascination,passive observation,negative,201709_114.0502404_22.601815099999996.png
cars,repetitive nature,disengagement,negative,201709_114.0502404_22.601815099999996.png
greenery,limited fascination,lack of engagement,negative,201709_114.0552036_22.686124699999997.png
structures,uniformity,lack of interest,negative,201709_114.0552036_22.686124699999997.png
road,sense of busyness,distraction from environment,negative,201709_114.0552036_22.686124699999997.png
shops,moderate fascination,capture attention,positive,201709_114.0569178_22.626651600000002.png
architecture,limited engagement,reduce interest,negative,201709_114.0569178_22.626651600000002.png
sky,dull atmosphere,decrease allure,negative,201709_114.0569178_22.626651600000002.png
signage,lack of intrigue,disinterest,negative,201709_114.0588246_22.621622000000002.png
greenery,minimal fascination,lack of engagement,negative,201709_114.0588246_22.621622000000002.png
facades,monotony,boredom,negative,201709_114.0588246_22.621622000000002.png
traffic,distraction,avoidance,negative,201709_114.0588246_22.621622000000002.png
construction,annoyance,withdrawal,negative,201709_114.0588246_22.621622000000002.png
shops,limited fascination,lack of engagement,negative,201709_114.0592641_22.6360472.png
traffic,uniformity,disinterest,negative,201709_114.0592641_22.6360472.png
buildings,repetitive monotony,avoidance,negative,201709_114.0592641_22.6360472.png
sky,diminished interest,lack of attention,negative,201709_114.0592641_22.6360472.png
infrastructure,lack of engagement,feelings of boredom,negative,201709_114.06019570199695_22.61155481335208.png
construction,limited visual interest,distraction from surroundings,negative,201709_114.06019570199695_22.61155481335208.png
street,overwhelming uniformity,disinterest in exploration,negative,201709_114.06019570199695_22.61155481335208.png
architecture,utilitarian impression,diminished fascination,negative,201709_114.0604228_22.633323999999995.png
traffic,drawn attention,engagement with surroundings,positive,201709_114.0604228_22.633323999999995.png
greenery,potential fascination,attraction to nature,positive,201709_114.0604228_22.633323999999995.png
construction,detracted interest,avoidance of area,negative,201709_114.0604228_22.633323999999995.png
objects,high degree of fascination,engagement in observation,positive,201709_114.0616625_22.682752000000004.png
structures,dynamic visual interest,increased attention,positive,201709_114.0616625_22.682752000000004.png
greenery,sense of liveliness,encouragement to explore,positive,201709_114.0616625_22.682752000000004.png
people,sense of activity,participation in tasks,positive,201709_114.0616625_22.682752000000004.png
sunlight,visual interest,increased attention,positive,201709_114.0612517_22.7125737.png
canopies,sense of tranquility,lingering longer,positive,201709_114.0612517_22.7125737.png
vehicles,moderate fascination,exploring surroundings,positive,201709_114.0612517_22.7125737.png
construction,curiosity,observing changes,positive,201709_114.0612517_22.7125737.png
shops,engagement and interest,exploring various businesses,positive,201709_114.06117760000001_22.6566647.png
buildings,captivation and curiosity,noticing architectural details,positive,201709_114.06117760000001_22.6566647.png
pedestrian activity,dynamic and lively atmosphere,social interaction,positive,201709_114.06117760000001_22.6566647.png
vehicles,movement and energy,navigating through the space,positive,201709_114.06117760000001_22.6566647.png
canopy,immersive natural environment,draws attention away from distractions,positive,201709_114.06294860000001_22.614748.png
greenery,visual interest,encourages observation,positive,201709_114.06294860000001_22.614748.png
wooded area,sense of engaging wonder,hints at further exploration,positive,201709_114.06294860000001_22.614748.png
trees,moderate fascination,exploration,positive,201709_114.0627305_22.6549398.png
buildings,visual complexity,engagement,neutral,201709_114.0627305_22.6549398.png
traffic,constant activity,movement,neutral,201709_114.0627305_22.6549398.png
truck,draws attention,increased observation,positive,201709_114.06331743553174_22.670580236507305.png
buildings,varied interest,exploration,positive,201709_114.06331743553174_22.670580236507305.png
roadway,lack of fascination,reduced engagement,negative,201709_114.06331743553174_22.670580236507305.png
vehicles,moderate appeal,casual observation,neutral,201709_114.06331743553174_22.670580236507305.png
trees,limited attention,lack of engagement,negative,201709_114.0683385_22.697980400000002.png
sky,limited attention,lack of engagement,negative,201709_114.0683385_22.697980400000002.png
buildings,boredom,disinterest,negative,201709_114.0683385_22.697980400000002.png
roads,boredom,disinterest,negative,201709_114.0683385_22.697980400000002.png
billboard,lack of wonder,disinterest,negative,201709_114.0683385_22.697980400000002.png
trees,moderate engagement,prevent boredom,neutral,201709_114.06861678573122_22.721309304140785.png
buildings,lack of curiosity,minimal exploration,negative,201709_114.06861678573122_22.721309304140785.png
vehicles,bustling atmosphere,maintain activity,positive,201709_114.06861678573122_22.721309304140785.png
storefronts,functional presence,limited interaction,negative,201709_114.06861678573122_22.721309304140785.png
traffic cones,visual clutter,distract attention,negative,201709_114.06861678573122_22.721309304140785.png
trucks,dominant presence,reduce curiosity,negative,201709_114.06861678573122_22.721309304140785.png
paths,visual interest,exploration,positive,201709_114.0703004_22.575922800000004.png
vegetation,engaging details,appreciation of nature,positive,201709_114.0703004_22.575922800000004.png
sky,pleasant experience,outdoor activities,positive,201709_114.0703004_22.575922800000004.png
buildings,utilitarian impression,lack of engagement,negative,201709_114.0696131_22.72285939999999.png
greenery,slight interest,brief attention,neutral,201709_114.0696131_22.72285939999999.png
cars,ordinary environment,no exploration,negative,201709_114.0696131_22.72285939999999.png
construction,monotonous feel,avoidance,negative,201709_114.0696131_22.72285939999999.png
trees,calming effect,encourages relaxation,positive,201709_114.0707516_22.619814200000004.png
roads,boredom,lack of engagement,negative,201709_114.0707516_22.619814200000004.png
buildings,detachment,disinterest in surroundings,negative,201709_114.0707516_22.619814200000004.png
